trecho_id,data_obs,lat_centroide,lon_centroide,mes,chuva_72h,chuva_7d,chuva_30d
RO-ARQ-0018,2023-02-15,-9.8981,-62.9482,2,18.1,36.5,226.8
RO-ARQ-0018,2023-03-08,-9.8981,-62.9482,3,17.4,57.6,239.4
RO-ARQ-0018,2023-07-20,-9.8981,-62.9482,7,0.0,1.2,1.5
RO-ARQ-0018,2023-11-15,-9.8981,-62.9482,11,7.5,22.0,63.2
RO-ARQ-0018,2024-01-20,-9.8981,-62.9482,1,15.0,43.9,224.9
RO-ARQ-0018,2024-02-25,-9.8981,-62.9482,2,42.1,90.0,315.1
RO-ARQ-0018,2024-07-15,-9.8981,-62.9482,7,0.0,0.6,2.2
RO-ARQ-0018,2024-10-20,-9.8981,-62.9482,10,5.5,27.3,73.4
RO-ARQ-0018,2025-02-10,-9.8981,-62.9482,2,40.0,81.0,349.0
RO-ARQ-0018,2025-03-15,-9.8981,-62.9482,3,42.1,56.3,306.7
RO-ARQ-0018,2025-08-15,-9.8981,-62.9482,8,0.0,0.0,2.7
RO-ARQ-0019,2023-02-15,-9.8501,-62.9793,2,20.9,36.2,254.8
RO-ARQ-0019,2023-03-08,-9.8501,-62.9793,3,20.7,63.7,253.0
RO-ARQ-0019,2023-07-20,-9.8501,-62.9793,7,0.0,0.7,0.9
RO-ARQ-0019,2023-11-15,-9.8501,-62.9793,11,6.9,25.3,74.1
RO-ARQ-0019,2024-01-20,-9.8501,-62.9793,1,22.8,47.5,264.7
RO-ARQ-0019,2024-02-25,-9.8501,-62.9793,2,52.1,82.3,309.0
RO-ARQ-0019,2024-07-15,-9.8501,-62.9793,7,0.0,0.7,2.9
RO-ARQ-0019,2024-10-20,-9.8501,-62.9793,10,9.0,41.8,90.9
RO-ARQ-0019,2025-02-10,-9.8501,-62.9793,2,40.9,85.0,349.7
RO-ARQ-0019,2025-03-15,-9.8501,-62.9793,3,41.2,61.6,310.3
RO-ARQ-0019,2025-08-15,-9.8501,-62.9793,8,0.0,0.0,5.1
RO-ARQ-0020,2023-02-15,-9.9281,-62.9896,2,17.7,38.2,263.0
RO-ARQ-0020,2023-03-08,-9.9281,-62.9896,3,18.1,62.8,263.1
RO-ARQ-0020,2023-07-20,-9.9281,-62.9896,7,0.0,13.0,13.2
RO-ARQ-0020,2023-11-15,-9.9281,-62.9896,11,5.9,21.4,64.6
RO-ARQ-0020,2024-01-20,-9.9281,-62.9896,1,17.8,41.8,241.9
RO-ARQ-0020,2024-02-25,-9.9281,-62.9896,2,50.1,84.2,271.4
RO-ARQ-0020,2024-07-15,-9.9281,-62.9896,7,0.0,0.5,2.1
RO-ARQ-0020,2024-10-20,-9.9281,-62.9896,10,9.6,31.6,66.7
RO-ARQ-0020,2025-02-10,-9.9281,-62.9896,2,41.0,96.9,371.2
RO-ARQ-0020,2025-03-15,-9.9281,-62.9896,3,44.9,60.5,292.7
RO-ARQ-0020,2025-08-15,-9.9281,-62.9896,8,0.0,0.0,6.1
RO-ARQ-0021,2023-02-15,-9.934,-63.0011,2,17.7,38.2,263.0
RO-ARQ-0021,2023-03-08,-9.934,-63.0011,3,18.1,62.8,263.1
RO-ARQ-0021,2023-07-20,-9.934,-63.0011,7,0.0,13.0,13.2
RO-ARQ-0021,2023-11-15,-9.934,-63.0011,11,5.9,21.4,64.6
RO-ARQ-0021,2024-01-20,-9.934,-63.0011,1,17.8,41.8,241.9
RO-ARQ-0021,2024-02-25,-9.934,-63.0011,2,50.1,84.2,271.4
RO-ARQ-0021,2024-07-15,-9.934,-63.0011,7,0.0,0.5,2.1
RO-ARQ-0021,2024-10-20,-9.934,-63.0011,10,9.6,31.6,66.7
RO-ARQ-0021,2025-02-10,-9.934,-63.0011,2,41.0,96.9,371.2
RO-ARQ-0021,2025-03-15,-9.934,-63.0011,3,44.9,60.5,292.7
RO-ARQ-0021,2025-08-15,-9.934,-63.0011,8,0.0,0.0,6.1
RO-ARQ-0022,2023-02-15,-9.9342,-63.0001,2,17.7,38.2,263.0
RO-ARQ-0022,2023-03-08,-9.9342,-63.0001,3,18.1,62.8,263.1
RO-ARQ-0022,2023-07-20,-9.9342,-63.0001,7,0.0,13.0,13.2
RO-ARQ-0022,2023-11-15,-9.9342,-63.0001,11,5.9,21.4,64.6
RO-ARQ-0022,2024-01-20,-9.9342,-63.0001,1,17.8,41.8,241.9
RO-ARQ-0022,2024-02-25,-9.9342,-63.0001,2,50.1,84.2,271.4
RO-ARQ-0022,2024-07-15,-9.9342,-63.0001,7,0.0,0.5,2.1
RO-ARQ-0022,2024-10-20,-9.9342,-63.0001,10,9.6,31.6,66.7
RO-ARQ-0022,2025-02-10,-9.9342,-63.0001,2,41.0,96.9,371.2
RO-ARQ-0022,2025-03-15,-9.9342,-63.0001,3,44.9,60.5,292.7
RO-ARQ-0022,2025-08-15,-9.9342,-63.0001,8,0.0,0.0,6.1
RO-ARQ-0023,2023-02-15,-9.9352,-62.9994,2,17.7,38.2,263.0
RO-ARQ-0023,2023-03-08,-9.9352,-62.9994,3,18.1,62.8,263.1
RO-ARQ-0023,2023-07-20,-9.9352,-62.9994,7,0.0,13.0,13.2
RO-ARQ-0023,2023-11-15,-9.9352,-62.9994,11,5.9,21.4,64.6
RO-ARQ-0023,2024-01-20,-9.9352,-62.9994,1,17.8,41.8,241.9
RO-ARQ-0023,2024-02-25,-9.9352,-62.9994,2,50.1,84.2,271.4
RO-ARQ-0023,2024-07-15,-9.9352,-62.9994,7,0.0,0.5,2.1
RO-ARQ-0023,2024-10-20,-9.9352,-62.9994,10,9.6,31.6,66.7
RO-ARQ-0023,2025-02-10,-9.9352,-62.9994,2,41.0,96.9,371.2
RO-ARQ-0023,2025-03-15,-9.9352,-62.9994,3,44.9,60.5,292.7
RO-ARQ-0023,2025-08-15,-9.9352,-62.9994,8,0.0,0.0,6.1
RO-ARQ-0024,2023-02-15,-9.9387,-62.9984,2,17.7,38.2,263.0
RO-ARQ-0024,2023-03-08,-9.9387,-62.9984,3,18.1,62.8,263.1
RO-ARQ-0024,2023-07-20,-9.9387,-62.9984,7,0.0,13.0,13.2
RO-ARQ-0024,2023-11-15,-9.9387,-62.9984,11,5.9,21.4,64.6
RO-ARQ-0024,2024-01-20,-9.9387,-62.9984,1,17.8,41.8,241.9
RO-ARQ-0024,2024-02-25,-9.9387,-62.9984,2,50.1,84.2,271.4
RO-ARQ-0024,2024-07-15,-9.9387,-62.9984,7,0.0,0.5,2.1
RO-ARQ-0024,2024-10-20,-9.9387,-62.9984,10,9.6,31.6,66.7
RO-ARQ-0024,2025-02-10,-9.9387,-62.9984,2,41.0,96.9,371.2
RO-ARQ-0024,2025-03-15,-9.9387,-62.9984,3,44.9,60.5,292.7
RO-ARQ-0024,2025-08-15,-9.9387,-62.9984,8,0.0,0.0,6.1
RO-ARQ-0025,2023-02-15,-9.9328,-62.9931,2,17.7,38.2,263.0
RO-ARQ-0025,2023-03-08,-9.9328,-62.9931,3,18.1,62.8,263.1
RO-ARQ-0025,2023-07-20,-9.9328,-62.9931,7,0.0,13.0,13.2
RO-ARQ-0025,2023-11-15,-9.9328,-62.9931,11,5.9,21.4,64.6
RO-ARQ-0025,2024-01-20,-9.9328,-62.9931,1,17.8,41.8,241.9
RO-ARQ-0025,2024-02-25,-9.9328,-62.9931,2,50.1,84.2,271.4
RO-ARQ-0025,2024-07-15,-9.9328,-62.9931,7,0.0,0.5,2.1
RO-ARQ-0025,2024-10-20,-9.9328,-62.9931,10,9.6,31.6,66.7
RO-ARQ-0025,2025-02-10,-9.9328,-62.9931,2,41.0,96.9,371.2
RO-ARQ-0025,2025-03-15,-9.9328,-62.9931,3,44.9,60.5,292.7
RO-ARQ-0025,2025-08-15,-9.9328,-62.9931,8,0.0,0.0,6.1
RO-ARQ-0026,2023-02-15,-9.9357,-62.9871,2,17.7,38.2,263.0
RO-ARQ-0026,2023-03-08,-9.9357,-62.9871,3,18.1,62.8,263.1
RO-ARQ-0026,2023-07-20,-9.9357,-62.9871,7,0.0,13.0,13.2
RO-ARQ-0026,2023-11-15,-9.9357,-62.9871,11,5.9,21.4,64.6
RO-ARQ-0026,2024-01-20,-9.9357,-62.9871,1,17.8,41.8,241.9
RO-ARQ-0026,2024-02-25,-9.9357,-62.9871,2,50.1,84.2,271.4
RO-ARQ-0026,2024-07-15,-9.9357,-62.9871,7,0.0,0.5,2.1
RO-ARQ-0026,2024-10-20,-9.9357,-62.9871,10,9.6,31.6,66.7
RO-ARQ-0026,2025-02-10,-9.9357,-62.9871,2,41.0,96.9,371.2
RO-ARQ-0026,2025-03-15,-9.9357,-62.9871,3,44.9,60.5,292.7
RO-ARQ-0026,2025-08-15,-9.9357,-62.9871,8,0.0,0.0,6.1
RO-ARQ-0027,2023-02-15,-9.9361,-63.0623,2,18.8,35.9,240.2
RO-ARQ-0027,2023-03-08,-9.9361,-63.0623,3,16.9,58.5,277.2
RO-ARQ-0027,2023-07-20,-9.9361,-63.0623,7,0.0,21.4,21.6
RO-ARQ-0027,2023-11-15,-9.9361,-63.0623,11,7.4,19.1,65.4
