trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0163,8.26,16.34,0.0,0.476,4.72
RO-ARQ-0164,16.01,25.89,0.0,0.929,9.1
RO-ARQ-0165,9.69,19.51,0.114,0.571,5.54
RO-ARQ-0166,10.24,20.21,0.0,0.533,5.85
RO-ARQ-0167,3.63,9.38,0.207,0.034,2.08
RO-ARQ-0168,4.67,17.27,0.415,0.171,2.68
RO-ARQ-0169,6.6,13.6,0.0,0.389,3.77
RO-ARQ-0170,9.28,47.43,0.433,0.269,5.3
RO-ARQ-0171,3.67,8.58,0.19,0.01,2.1
RO-ARQ-0172,,,,,
RO-ARQ-0173,,,,,
RO-ARQ-0174,1.56,2.32,0.846,0.0,0.89
RO-ARQ-0175,0.98,1.88,1.0,0.0,0.56
RO-ARQ-0176,1.98,2.94,0.586,0.0,1.13
RO-ARQ-0177,1.58,2.8,0.711,0.0,0.91
RO-ARQ-0178,1.74,2.54,0.615,0.0,0.99
RO-ARQ-0179,2.68,4.96,0.167,0.0,1.53
RO-ARQ-0180,2.59,3.09,0.067,0.0,1.48
RO-ARQ-0181,2.32,3.37,0.361,0.0,1.33
RO-ARQ-0182,4.59,24.88,0.22,0.08,2.63
RO-ARQ-0183,7.78,16.88,0.038,0.577,4.45
RO-ARQ-0184,8.49,31.63,0.0,0.25,4.85
RO-ARQ-0185,6.35,11.96,0.094,0.219,3.63
RO-ARQ-0186,19.21,52.32,0.0,0.706,10.87
RO-ARQ-0187,16.21,55.29,0.235,0.529,9.21
RO-ARQ-0188,18.77,34.12,0.0,0.821,10.63
RO-ARQ-0189,5.33,14.93,0.084,0.15,3.05
RO-ARQ-0190,4.13,9.89,0.093,0.019,2.37
RO-ARQ-0191,9.81,25.47,0.074,0.5,5.6
RO-ARQ-0192,8.87,18.83,0.036,0.509,5.07
RO-ARQ-0193,2.52,16.45,0.551,0.051,1.44
RO-ARQ-0194,5.42,11.42,0.368,0.368,3.1
